player,start,end,no play,react,serve,smash,backhand,lob,forehand,shuttle
pt,1575,1594,0,0,0,0,1,0,0,2
pb,1575,1594,0,1,0,0,0,0,0,3
pb,1595,1623,1,0,0,0,0,0,0,2
pt,1595,1623,1,0,0,0,0,0,0,2
pb,1624,1633,0,1,0,0,0,0,0,3
pt,1624,1633,0,1,0,0,0,0,0,3
pb,1634,1648,0,0,0,0,0,0,1,1
pt,1649,1668,0,0,0,0,1,0,0,2
pb,1649,1664,0,1,0,0,0,0,0,3
pb,1665,1675,0,0,0,0,1,0,0,2
pt,1669,1675,0,1,0,0,0,0,0,3
pt,1676,1708,0,0,0,0,0,1,0,1
pb,1676,1713,0,1,0,0,0,0,0,3
pb,1714,1732,0,0,0,0,0,0,1,1
pt,1709,1728,0,1,0,0,0,0,0,3
pt,1729,1755,0,0,0,0,0,0,1,1
pb,1733,1742,0,1,0,0,0,0,0,3
pb,1743,1770,0,0,0,0,1,0,0,2
pt ,1756,1761,0,1,0,0,0,0,0,3
pt,1762,1779,0,0,0,0,1,0,0,2
pb,1771,1784,0,0,0,0,0,0,1,1
pt,1780,1784,0,1,0,0,0,0,0,3
pt,1785,1799,0,0,0,0,1,0,0,2
pb,1785,1798,0,1,0,0,0,0,0,3
pb,1799,1815,0,0,0,0,0,0,1,1
pt,1800,1814,0,1,0,0,0,0,0,3
pt,1815,1848,0,0,0,0,0,1,0,1
pb,1816,1842,0,1,0,0,0,0,0,3
pb,1843,1873,0,0,0,1,0,0,0,0
pb,1874,1894,0,1,0,0,0,0,0,3
pb,1895,1913,0,0,0,0,0,1,0,1
pt ,1849,1864,0,1,0,0,0,0,0,3
pt,1865,1899,0,0,0,0,1,0,0,2
pt,1900,1909,0,1,0,0,0,0,0,3
pt,1910,1929,0,0,0,0,0,0,1,1
pb,1914,1949,0,0,0,0,1,0,0,2
pt,1930,1938,0,1,0,0,0,0,0,3
pt,1939,1949,0,0,0,0,1,0,0,2
pb,1950,1961,0,1,0,0,0,0,0,3
pb,1962,1993,0,0,0,0,0,0,1,1
pb,1994,2010,0,1,0,0,0,0,0,3
pb,2011,2054,0,0,0,0,0,1,0,1
pb,2055,2073,0,1,0,0,0,0,0,3
pb,2074,2099,0,0,0,0,1,0,0,2
pt,1950,1988,0,1,0,0,0,0,0,3
pt,1987,2019,0,0,0,0,0,1,0,1
pt,2020,2044,0,1,0,0,0,0,0,3
pt,2045,2074,0,0,0,1,0,0,0,0
pt,2075,2093,0,1,0,0,0,0,0,3
pt,2094,2119,0,0,0,0,0,0,1,1
